SKU,pick_count,total_quantity_picked,movement_frequency
A0J1621218,1,12,1
A0J1921238,324,3260,324
A2-11081,2149,97628,2149
A2-37077,99,1473,99
A2-41130,1893,74556,1893
A2-41168,1997,9878,1997
A2-41180,6342,590965,6342
A2-41189,3863,33128,3863
A2-41638,2714,148320,2714
A2-41648,693,38580,693
A2-523042,27,480,27
A2-523066,3,72,3
A291119148,3092,179551,3092
A291119156,2345,93127,2345
A291119163,2810,162426,2810
A291719129,439,11248,439
A291719137,419,10911,419
A291719228,593,9501,593
A291719483,583,7815,583
A291719491,1,30,1
A297132483,789,22508,789
A297132517,1031,25458,1031
A3-02102,313,5376,313
A3-11086,244,3022,244
A3-11102,61,814,61
A3-11106,188,3354,188
A3-11120,948,20416,948
A3-11151,347,13024,347
A3-11152,351,14876,351
A3-11153,322,12024,322
A3-11163,3732,228379,3732
A3-11164,1408,38446,1408
A3-11165,2488,86162,2488
A3-11166,3168,156198,3168
A3-11167,2837,126664,2837
A3-11218,510,11289,510
A3-11400,3055,266093,3055
A3-11486,3177,335641,3177
A3-11493,3089,305258,3089
A3-12120,250,3146,250
A3-16579,497,7507,497
A3-16581,477,6942,477
A3-16678,305,4224,305
A3-17313,66,7082,66
A3-24393,380,5447,380
A3-26083,537,10592,537
A3-27023,52,924,52
A3-27031,11,114,11
A3-27035,30,437,30
A3-41610,872,32507,872
A3-41621,870,29315,870
A3-41622,871,28999,871
A3-41623,969,32996,969
A3-41643,504,15299,504
A3-41644,162,5937,162
A3-41653,153,18106,153
A3-41657,1337,42550,1337
A3-45205,1687,44448,1687
A3-45229,4877,372716,4877
A3-45236,4326,312758,4326
A3-45243,2616,169210,2616
A3-45250,5106,409031,5106
A3-45274,1508,37522,1508
A3-45281,727,19485,727
A3-45540,1045,25319,1045
A3-45557,235,5832,235
A3-45564,1009,27194,1009
A3-45571,1181,37663,1181
A3-523059,1,24,1
A3-52415,457,16919,457
A3-52423,41,807,41
A3-58081,2310,37820,2310
A3-58098,2408,53831,2408
A3-61234,38,1884,38
A3-74302,2888,64854,2888
A3-74335,430,5937,430
A3-75530,394,5603,394
A391956259,56,791,56
A391956522,118,1631,118
A392056248,449,6430,449
A392056271,258,3526,258
A393156584,299,4299,299
A393156650,3839,188049,3839
A393156675,3349,166898,3349
A393156683,3474,153284,3474
A393256129,618,8965,618
A393256153,451,33418,451
A393256160,461,7606,461
A393256186,350,5314,350
A393256210,1415,24228,1415
A393256244,1382,27376,1382
A393256252,413,6389,413
A396219107,2585,82357,2585
A396219231,1204,33342,1204
A396219272,1684,53231,1684
A396219280,3189,98174,3189
A396219298,1208,32112,1208
A396219314,1660,53287,1660
A396219348,2901,132111,2901
A396219371,4343,220334,4343
A396219389,3,172,3
A399141242,2203,45411,2203
A399141250,471,10490,471
A399141267,733,14784,733
A399141275,250,5428,250
A399141283,851,18181,851
A5-11292,10913,1464142,10913
A5-11293,8952,947960,8952
A5-11294,11774,1637843,11774
A5-11295,5562,487061,5562
A5-11296,2443,109584,2443
A5-11298,5100,343786,5100
A5-11319,4667,367022,4667
A5-11359,5118,484681,5118
A5-23387,307,5497,307
A5-40493,1479,29841,1479
A5-40494,1169,21865,1169
A5-40495,885,16332,885
A5-45145,71,1012,71
A5-45146,117,1475,117
A5-45147,151,1719,151
A5-49326,6172,705404,6172
A5-49327,4819,436557,4819
A5-49328,6391,706058,6391
A5-521987,82,12239,82
A5-60069,162,7899,162
A592662100,250,2763,250
A592662184,333,4213,333
A592662192,611,6962,611
A592662390,163,1934,163
A592662407,22,6000,22
A594862311,209,4097,209
A594862329,370,6738,370
A594862337,161,2563,161
A6-14110,51,1424,51
A6A6112149,408,13493,408
A6A6112157,9,84,9
A6A6112172,210,4348,210
A6A6112313,256,5575,256
A9-13503,196,2874,196
A9-25108,1132,48074,1132
A9-32601,3710,306153,3710
A9-32681,3281,341825,3281
A9-33101,37,858,37
AE-08480,19,107,19
AE-10614,311,6180,311
AE-11011,66,900,66
AE-11813,125,3749,125
AE-11820,4,31,4
AE-14323,2,7,2
AE-15108,462,16947,462
AE-15184,437,28551,437
AE-15191,467,26099,467
AE-15214,335,9191,335
AE-16844,7,114,7
AE-17780,83,2731,83
AE-19977,331,8935,331
AE-22700,3,10,3
AE-22779,1,1,1
AE-23189,1,250,1
AE-23943,5,331,5
AE-24208,45,542,45
AE-24957,475,8742,475
AE-27286,16,348,16
AE-27743,21,624,21
AE-31081,15,98,15
AE-31211,179,3237,179
AE-31228,434,12163,434
AE-31374,14,72,14
AE-31559,3,26,3
AE-32132,25,177,25
AE-32613,11,47,11
AE-32651,2,2,2
AE-50564,1,12,1
AE-51591,133,1482,133
AE-51607,15,193,15
AE-51645,144,2008,144
AE-51676,27,249,27
AE-51683,30,278,30
AE-51713,16,135,16
AE-51829,13,167,13
AE-54848,6,22,6
AE-61331,5,120,5
AE-78226,9,75,9
AE-82476,47,2264,47
AE-82483,1,9,1
AE-82490,82,2496,82
AE-83312,44,766,44
AE-83329,58,2080,58
AE-83596,63,1609,63
AE-84258,27,702,27
AE-85696,24,318,24
AM-0071,186,1228,186
AM-0088,180,529,180
AM-533101,679,1093,679
AM-533190,301,427,301
AM-6287,256,2214,256
AM-8132,2583,8384,2583
AM-814422,738,4404,738
AM-8161,2483,36446,2483
AM-81612,781,6873,781
AM-816132,595,7084,595
AM-8171,1910,25864,1910
AM-81712,572,5167,572
AM-817132,452,5141,452
AM-8176,3093,46230,3093
AM-81762,948,8142,948
AM-817632,1883,29664,1883
AM-82532,840,5422,840
AM-82542,954,5694,954
AM-825427,1916,20246,1916
AM-82552,975,5821,975
AM-825526,1959,20723,1959
AM-82562,628,3759,628
AM-8421,1856,16612,1856
AM-842126,2434,29896,2434
AM-8438,1733,16182,1733
AM-8445,1864,17393,1864
AM-8452,1238,11379,1238
AM-8469,1326,12881,1326
AM-9157,192,1652,192
AS-01012,1499,31851,1499
AS-01013,3856,90469,3856
AS-01014,3492,46404,3492
AS-01015,2573,31084,2573
AS-01060,977,8304,977
AS-01067,828,9227,828
AS-01068,541,3754,541
AS-01069,1020,10120,1020
AS-02211,355,5045,355
AS-23674,571,16095,571
AS-27207,824,11755,824
AS-27283,657,9191,657
AS-27290,599,6042,599
AS-27313,1113,11439,1113
AS-27320,952,30106,952
